Preventive treatment [topp]    
Curative [cnce]    
resection [topp]    
HEPATOCELLULAR CARCINOMA [neop]    
literature review [inpr]    
control [qlco]    
Inhibitory [acty]    
preventive [ftcn]    
Approaches [spco]    
Operation [hlca]    
Patients [podg]    
HEPATOCELLULAR CARCINOMA [neop]    
Available [ftcn]    
Reporting [hlca]    
control [qlco]    
indexed [inpr]    
PubMed [inpr]    
treatment [ftcn]    
Approaches [spco]    
Presented [idcn]    
included [ftcn]    
Preoperative [tmco]    
Transcatheter [spco]    
Arterial [bpoc]    
chemoembolisation [topp]    
Postoperative [tmco]    
Transcatheter [spco]    
Arterial [bpoc]    
chemoembolisation [topp]    
Systemic [ftcn]    
Chemotherapy [topp]    
IMMUNOTHERAPY [topp]    
Standard [qlco]    
treatment [ftcn]    
Established [qlco]    
Several [qnco]    
Approaches [spco]    
Presented [idcn]    
promise [idcn]    
effective [qlco]    
Tolerable [qlco]    
Postoperative [tmco]    
Patients [podg]    
Preoperative [tmco]    
Transcatheter [spco]    
Arterial [bpoc]    
chemoembolisation [topp]    
effective [qlco]    
survivals [acty]    
Postoperative [tmco]    
Transcatheter [spco]    
Arterial [bpoc]    
chemoembolisation [topp]    
Disease-Free Survival [qnco]    
Survival [acty]    
Benefits [qnco]    
Papers [mnob]    
Question [inpr]    
Others [fndg]    
Systemic Chemotherapy [topp]    
effective [qlco]    
Survival [acty]    
Poorly [qlco]    
toxicities [inpo]    
Adoptive Immunotherapy [topp]    
LAK Cells [cell]    
Patients [podg]    
Survival [acty]    
Paper [mnob]    
arrested [dsyn]    
HEPATOCELLULAR CARCINOMA [neop]    
Patients [podg]    
HCV [virs]    
Mechanism [ftcn]    
UNDERSTOOD [menp]    
Decrease [qlco]    
Multi [qnco]    
Operation [hlca]    
Reported [inpr]    
Group [idcn]    
Several [qnco]    
Approaches [spco]    
Study [mnob]    
Efficacy [qlco]    
HEPATOCELLULAR CARCINOMA [neop]    
Patients [podg]    
control [qlco]    
Multicentric [spco]    
control [qlco]    
Needed [qlco]    
Evaluation [hlca]    
Efficacy [qlco]    
Systemic [ftcn]    
LOCAL [spco]    
toxicities [inpo]    
Addition [ftcn]    
NEW [qlco]    
treatment [ftcn]    
investigated [ftcn]    
effective [qlco]    
Tolerable [qlco]    
Methods [inpr]    
Patients [podg]    
HEPATOCELLULAR CARCINOMA [neop]    
Operation [hlca]    
